Time,Vehicle Speed (m/s),Vehicle Speed (Kmph),Motor Speed (RPM),Gradient (Degree),"Mode, Eco-1, Boost-2",Total Motor Torque (Nm),Total Number of Power Wheel (No),PerMotor Torque (Nm),Motoring Tractive Force F_Tractive (N),Froll (N),Fdrag (N),Fclimb (N),F_Load Resitance  (N),Net Force F_Net(N),Vehicle Acceleration (m/s),Motor Power (kW)
77,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
78,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
79,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
80,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
81,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
82,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
83,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
84,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
85,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
86,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
87,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
88,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
89,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
90,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
91,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
92,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
93,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
94,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
95,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
96,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
97,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
98,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
99,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
100,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
101,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
102,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
103,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
104,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
105,15.394490186381097,55.42016467097195,2746.0508442976648,60,2,76.5042371001814,2,38.2521185500907,1357.628589642378,29.400000000000002,55.17135720876642,1273.0572324336108,1357.6285896423772,0.0,0.0,22.0
